case,step,pvi,cell,x_m,water_saturation,oil_saturation,gas_saturation
binary,30,0.75,6,0.13,0.6487010708506623,0.3512989291493377,0.0
binary,30,0.75,7,0.15,0.6307931192479184,0.36920688075208163,0.0
binary,30,0.75,8,0.16999999999999998,0.6147685146092992,0.38523148539070085,0.0
binary,30,0.75,9,0.19,0.6002793949773796,0.39972060502262047,0.0
binary,30,0.75,10,0.21,0.587065194754437,0.41293480524556303,0.0
binary,30,0.75,11,0.22999999999999998,0.57492568548999,0.4250743145100101,0.0
binary,30,0.75,12,0.25,0.5637037104551074,0.43629628954489275,0.0
binary,30,0.75,13,0.26999999999999996,0.5532736930665155,0.4467263069334845,0.0
binary,30,0.75,14,0.29,0.5435337401703337,0.45646625982966627,0.0
binary,30,0.75,15,0.30999999999999994,0.5344000672803495,0.46559993271965056,0.0
binary,30,0.75,16,0.33,0.5258029708918843,0.4741970291081157,0.0
binary,30,0.75,17,0.35,0.5176838594311499,0.48231614056885014,0.0
binary,30,0.75,18,0.37,0.5099930255953476,0.49000697440465235,0.0
binary,30,0.75,19,0.38999999999999996,0.5026879485918896,0.49731205140811047,0.0
binary,30,0.75,20,0.41,0.49573198201795815,0.5042680179820418,0.0
binary,30,0.75,21,0.43,0.4890933269606612,0.5109066730393387,0.0
binary,30,0.75,22,0.45,0.4827442191320022,0.5172557808679978,0.0
binary,30,0.75,23,0.47,0.4766602787441875,0.5233397212558124,0.0
binary,30,0.75,24,0.49,0.4708199856115389,0.5291800143884611,0.0
binary,30,0.75,25,0.51,0.4652042516713992,0.5347957483286008,0.0
binary,30,0.75,26,0.5299999999999999,0.4597960700550412,0.5402039299449588,0.0
binary,30,0.75,27,0.55,0.45458022486846594,0.5454197751315342,0.0
binary,30,0.75,28,0.57,0.44954304953362184,0.5504569504663782,0.0
binary,30,0.75,29,0.59,0.4446722242808879,0.5553277757191121,0.0
binary,30,0.75,30,0.61,0.4399566054400887,0.5600433945599115,0.0
binary,30,0.75,31,0.63,0.4353860807362209,0.564613919263779,0.0
binary,30,0.75,32,0.65,0.43095144598864454,0.5690485540113556,0.0
binary,30,0.75,33,0.6699999999999999,0.42664429953281363,0.5733557004671865,0.0
binary,30,0.75,34,0.69,0.42245695139979117,0.5775430486002089,0.0
binary,30,0.75,35,0.7100000000000001,0.41838234484998,0.58161765515002,0.0
binary,30,0.75,36,0.73,0.4144139883008937,0.5855860116991063,0.0
binary,30,0.75,37,0.75,0.41054589604093455,0.5894541039590654,0.0
binary,30,0.75,38,0.7699999999999999,0.40677253640313515,0.5932274635968647,0.0
binary,30,0.75,39,0.7899999999999999,0.4030887862995521,0.596911213700448,0.0
binary,30,0.75,40,0.81,0.39948989120057476,0.6005101087994253,0.0
binary,30,0.75,41,0.83,0.39597142979287714,0.604028570207123,0.0
binary,30,0.75,42,0.85,0.39252928267179166,0.6074707173282083,0.0
binary,30,0.75,43,0.8699999999999999,0.38915960452438775,0.6108403954756124,0.0
binary,30,0.75,44,0.89,0.38585879934240597,0.614141200657594,0.0
binary,30,0.75,45,0.91,0.3826234982729092,0.6173765017270908,0.0
binary,30,0.75,46,0.9299999999999999,0.3794505397718142,0.6205494602281858,0.0
binary,30,0.75,47,0.95,0.3763369517732681,0.6236630482267319,0.0
binary,30,0.75,48,0.97,0.37327993562798606,0.626720064372014,0.0
